,appid,average_2weeks,average_forever,ccu,developer,discount,genre,initialprice,languages,median_2weeks,median_forever,name,negative,owners,positive,price,publisher,score_rank,tags,userscore
246,8340,0,120,1,Telltale Games,0,Adventure,1999,English,0,111,Strong Bad's Cool Game for Attractive People: Season 1,26,"100,000 .. 200,000",218,1999,Telltale Games,74,8,91
247,8350,0,166,0,Telltale Games,0,Adventure,1999,"English, Not supported",0,225,Strong Bad's Cool Game for Attractive People: Episode 2,5,"0 .. 20,000",12,1999,Telltale Games,,1,0
248,8360,0,175,0,Telltale Games,0,Adventure,1999,"English, Not supported",0,212,Strong Bad's Cool Game for Attractive People: Episode 3,6,"0 .. 20,000",11,1999,Telltale Games,,1,0
249,8370,0,163,0,Telltale Games,0,Adventure,0,,0,175,Strong Bad's Cool Game for Attractive People: Episode 4,5,"0 .. 20,000",11,0,Telltale Games,,1,0
250,8380,0,136,0,Telltale Games,0,Adventure,0,,0,157,Strong Bad's Cool Game for Attractive People: Episode 5,3,"0 .. 20,000",12,0,Telltale Games,,1,0
251,8400,0,79,6,Bizarre Creations,0,Casual,399,English,0,15,Geometry Wars: Retro Evolved,59,"100,000 .. 200,000",576,399,Activision,77,16,90
252,8500,709,3376,3369,CCP,0,"Action, Free to Play, Massively Multiplayer, RPG, Strategy",0,"English, German, Russian, French",40,90,EVE Online,2684,"1,000,000 .. 2,000,000",8074,0,CCP,42,20,75
253,8600,3,508,31,SimBin,0,Racing,399,"English, French, German, Italian, Spanish - Spain",3,32,RACE 07,341,"1,000,000 .. 2,000,000",1671,399,SimBin,58,6,86
254,8780,0,0,0,SimBin,0,Racing,799,"English, French, German, Italian, Spanish - Spain",0,0,RACE On,0,"0 .. 20,000",0,799,SimBin,,0,0
255,8790,0,18,1,SimBin Studios AB,0,"Racing, Simulation, Sports",799,English,0,1,GTR 2 FIA GT Racing Game,16,"50,000 .. 100,000",173,799,SimBin,80,6,90
256,8800,878,2343,1386,Firaxis Games,0,Strategy,999,"English, French, German, Italian, Spanish - Spain",1323,289,Civilization IV: Beyond the Sword,60,"1,000,000 .. 2,000,000",1360,999,2K,93,12,95
257,8850,171,426,52,"2K Marin, 2K China, Digital Extremes, 2K Australia, Feral Interactive (Mac)",0,Action,1999,"English, French, German, Italian, Spanish - Spain",258,153,BioShock 2,938,"2,000,000 .. 5,000,000",8507,1999,"2K, Feral Interactive (Mac)",77,20,89
258,8870,231,826,575,"Irrational Games, Aspyr (Mac), Virtual Programming (Linux)",0,Action,2999,"English, French, German, Italian, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Japanese, Korean, Traditional Chinese",99,596,BioShock Infinite,3744,"2,000,000 .. 5,000,000",78199,2999,"2K, Aspyr (Mac)",93,20,95
259,8880,0,118,1,Irrational Games,0,"RPG, Strategy",499,English,0,55,Freedom Force,145,"200,000 .. 500,000",193,499,2K,17,9,62
260,8890,0,113,1,Irrational Games,0,"RPG, Strategy",499,English,0,19,Freedom Force vs. the Third Reich,28,"200,000 .. 500,000",115,499,2K,52,5,85
261,8930,521,5774,28365,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)",0,Strategy,2999,"English, French, German, Italian, Spanish - Spain, Polish, Japanese, Korean, Russian, Traditional Chinese",238,2097,Sid Meier's Civilization V,5397,"5,000,000 .. 10,000,000",127946,2999,"2K, Aspyr (Mac), Aspyr (Linux)",93,20,95
262,8970,0,83,0,Silver Wish Games,0,Indie,499,"English, French, German, Italian, Spanish - Spain",0,34,Axel & Pixel,13,"20,000 .. 50,000",33,499,2K,35,2,71
263,8980,267,1551,942,Gearbox Software,0,"Action, RPG",1999,"English, French, Spanish - Spain, German, Italian",89,625,Borderlands,1568,"2,000,000 .. 5,000,000",22407,1999,2K,87,20,93
264,9000,0,77,5,id Software,0,Action,299,English,0,6,Spear of Destiny,37,"200,000 .. 500,000",196,299,id Software,61,9,83
265,9010,22,231,64,Gray Matter Studios,0,Action,499,English,33,60,Return to Castle Wolfenstein,258,"500,000 .. 1,000,000",2999,499,Bethesda-Softworks,84,20,91
266,9030,0,78,0,Rogue Entertainment,0,Action,299,English,0,46,QUAKE Mission Pack 2: Dissolution of Eternity,15,"200,000 .. 500,000",136,299,id Software,77,5,88
267,9040,0,181,4,Ritual Entertainment,0,Action,299,English,0,52,QUAKE Mission Pack 1: Scourge of Armagon,12,"200,000 .. 500,000",197,299,id Software,90,6,93
268,9050,491,278,41,id Software,0,Action,499,"English, German, Italian, Spanish - Spain, French",846,84,DOOM 3,361,"200,000 .. 500,000",2529,499,id Software,69,20,87
269,9060,14,73,0,Raven Software,0,Action,499,English,14,19,HeXen II,37,"100,000 .. 200,000",167,499,id Software,54,12,80
270,9160,1,106,7,id Software,0,Action,1499,English,1,7,Master Levels for Doom II,63,"500,000 .. 1,000,000",299,1499,id Software,56,16,82
271,9180,4,61,8,id Software,0,Action,499,English,5,12,Commander Keen,52,"200,000 .. 500,000",724,499,id Software,87,11,93
272,9200,150,621,216,id Software,0,Action,999,"English, Czech, French, German, Italian, Japanese, Polish, Russian, Spanish - Spain",169,271,RAGE,2782,"1,000,000 .. 2,000,000",9191,999,Bethesda Softworks,44,20,74
273,9310,97,231,41,Relic Entertainment,0,Strategy,1299,"English, French, German, Italian, Spanish - Spain",97,47,"Warhammer 40,000: Dawn of War – Winter Assault",71,"500,000 .. 1,000,000",587,1299,SEGA,74,14,90
274,9340,1089,417,38,Relic Entertainment,0,"Action, Strategy",1999,English,1089,48,Company of Heroes: Opposing Fronts,51,"2,000,000 .. 5,000,000",571,1999,SEGA,80,13,90
275,9350,177,526,123,Gas Powered Games,0,Strategy,1299,"English, Czech, French, German, Italian, Polish, Russian, Spanish - Spain, Traditional Chinese",269,92,Supreme Commander,150,"500,000 .. 1,000,000",1043,1299,Square Enix,69,14,86
276,9420,151,1491,661,Gas Powered Games,0,Strategy,1299,"English, French, Italian, German, Spanish - Spain, Czech, Polish, Russian, Traditional Chinese",86,402,Supreme Commander: Forged Alliance,157,"1,000,000 .. 2,000,000",4838,1299,Square Enix,95,20,96
277,9450,315,1649,960,Relic Entertainment,0,Strategy,1299,"English, French, German",136,491,"Warhammer 40,000: Dawn of War - Soulstorm",274,"1,000,000 .. 2,000,000",4734,1299,SEGA,90,19,94
