,appid,average_2weeks,average_forever,ccu,developer,discount,genre,initialprice,languages,median_2weeks,median_forever,name,negative,owners,positive,price,publisher,score_rank,tags,userscore
360,12500,0,622,13,Infinite Interactive,0,Casual,999,English,0,269,PuzzleQuest: Challenge of the Warlords,76,"100,000 .. 200,000",557,999,"D3Publisher of America, Inc.",69,12,87
361,12510,0,70,0,"Gamebryo, Virtual Playground",0,Strategy,999,English,0,99,Prison Tycoon 3: Lockdown,87,"20,000 .. 50,000",18,999,"ValuSoft, Retroism",2,2,17
362,12520,0,579,7,SCS Software,0,Racing,999,English,0,298,18 Wheels of Steel: American Long Haul,110,"50,000 .. 100,000",243,999,"ValuSoft, Play Hard Games",30,4,70
363,12530,48,613,0,SCS Software,0,"Action, Adventure, Strategy",999,English,48,628,Hunting Unlimited 2008,9,"20,000 .. 50,000",28,999,"ValuSoft, Retroism",42,4,75
364,12540,0,9,0,Zemnott,0,Casual,999,English,0,10,Mahjongg Investigations: Under Suspicion,6,"0 .. 20,000",21,999,"ValuSoft, Retroism",,2,0
365,12560,0,42,0,Gabriel Entertainment,0,Simulation,999,English,0,19,Ride! Carnival Tycoon,25,"20,000 .. 50,000",15,999,"ValuSoft, Retroism",5,2,42
366,12570,0,1420,0,Zemnott,0,,999,"English, French, German, Italian, Spanish - Spain",0,2838,Hot Dish,12,"20,000 .. 50,000",10,999,ValuSoft,,1,0
367,12580,0,7,0,Zemnott,0,,999,"English, French, German, Italian, Spanish - Spain",0,12,Dr. Daisy Pet Vet,10,"20,000 .. 50,000",11,999,ValuSoft,,2,0
368,12590,0,52,0,BigAnt Studios,0,Racing,999,English,0,83,Sprint Cars Road to Knoxville,24,"20,000 .. 50,000",25,999,"ValuSoft, Retroism",12,1,55
369,12600,0,10,0,"Merscom, Babylon",0,Racing,999,English,0,10,Midnight Outlaw: 6 Hours to SunUp,27,"0 .. 20,000",10,999,"ValuSoft, Retroism",3,1,16
370,12640,885,454,17,Radon Labs,0,RPG,999,"English, German, French",885,63,Drakensang,70,"100,000 .. 200,000",225,999,DTP Entertainment,44,14,75
371,12650,0,77,0,dtp – young entertainment Gmbh &amp; Co. KG,0,"Casual, Simulation",699,English,0,81,Fetch It Again,1,"0 .. 20,000",2,699,"ValuSoft, Retroism",,2,0
372,12660,0,0,0,dtp – young entertainment Gmbh &amp; Co. KG,0,"Casual, Simulation",699,English,0,0,Miss Popularity,2,"0 .. 20,000",2,699,"ValuSoft, Retroism",,2,0
373,12670,0,1,0,Virtual Playground,0,Simulation,999,English,0,1,Mission Runway,6,"0 .. 20,000",14,999,"ValuSoft, Retroism",,2,0
374,12690,0,979,0,,0,,999,English,0,986,Hunting Unlimited 2010,38,"20,000 .. 50,000",137,999,"ValuSoft, Retroism",47,4,77
375,12710,246,404,42,"Triumph Studios, Virtual Programming",0,RPG,999,"English, French, German, Italian, Spanish - Spain",246,164,Overlord: Raising Hell,72,"500,000 .. 1,000,000",925,999,Codemasters,84,13,92
376,12770,0,99,4,Liquid Entertainment,0,RPG,999,"English, French, German, Italian, Spanish - Spain",0,24,Rise of the Argonauts,176,"200,000 .. 500,000",359,999,Codemasters,28,7,74
377,12790,0,162,1,Blue Omega Entertainment,0,"Action, Adventure",999,"English, French, German, Italian, Spanish - Spain",0,141,Damnation,175,"50,000 .. 100,000",134,999,Codemasters,8,9,48
378,12810,56,522,77,"Triumph Studios, Virtual Programming",0,RPG,999,"English, French, German, Italian, Spanish - Spain",58,176,Overlord II,298,"1,000,000 .. 2,000,000",2071,999,Codemasters,69,20,87
379,12830,31,224,20,Codemasters Studios,0,Action,999,"English, French, German, Italian, Spanish - Spain",31,65,Operation Flashpoint: Dragon Rising,575,"500,000 .. 1,000,000",1008,999,Codemasters,23,17,63
380,12900,40,520,30,Dylan Fitterer,0,Indie,999,English,45,148,AudioSurf,394,"1,000,000 .. 2,000,000",9023,999,Codemasters,93,20,95
381,13000,0,388,0,Sanzaru Games,0,"Casual, Indie",499,"English, French, German, Italian, Spanish - Spain, Japanese, (all with full audio support)",0,653,Ninja Reflex: Steamworks Edition,4,"0 .. 20,000",46,499,Nunchuck Games,84,3,93
382,13200,11,107,3,"Epic Games, Inc.",0,Action,1499,English,11,34,Unreal 2: The Awakening,96,"200,000 .. 500,000",235,1499,"Epic Games, Inc.",33,8,70
383,13210,13,1275,34,"Epic Games, Inc.",0,Action,1999,"English, French, German, Spanish - Spain, Italian",25,146,Unreal Tournament 3 Black,268,"500,000 .. 1,000,000",2378,1999,"Epic Games, Inc.",74,20,89
384,13230,34,1081,47,"Epic Games, Inc.",0,Action,1499,"English, French, German, Italian, Spanish - Spain",60,129,Unreal Tournament 2004: Editor's Choice Edition,57,"200,000 .. 500,000",2147,1499,"Epic Games, Inc.",97,20,97
385,13240,9,142,31,"Epic Games, Inc.",0,Action,999,English,14,46,Unreal Tournament: Game of the Year Edition,61,"200,000 .. 500,000",2089,999,"Epic Games, Inc.",97,20,97
386,13250,1081,462,8,"Epic Games, Inc.",0,Action,999,"English, French, German, Italian, Spanish - Spain",2138,2,Unreal Gold,122,"500,000 .. 1,000,000",1196,999,"Epic Games, Inc.",77,20,94
387,13500,0,225,7,Ubisoft,0,"Action, Adventure",999,English,0,45,Prince of Persia: Warrior Within,100,"200,000 .. 500,000",640,999,Ubisoft,66,18,85
388,13520,12,278,75,Crytek Studios,0,Action,999,English,12,65,Far Cry,573,"500,000 .. 1,000,000",3043,999,Ubisoft,61,19,84
389,13530,0,217,4,Ubisoft Montreal,0,"Action, Adventure",999,"English, French, German, Italian, Spanish - Spain",0,50,Prince of Persia: The Two Thrones,103,"200,000 .. 500,000",344,999,Ubisoft,44,15,76
390,13540,59,144,16,Ubisoft Montreal,0,Action,999,"English, French",59,25,Tom Clancy's Rainbow Six Vegas,101,"100,000 .. 200,000",355,999,Ubisoft,45,12,77
391,13560,9,256,16,Ubisoft,0,Action,999,"English, French",9,79,Tom Clancy's Splinter Cell,140,"200,000 .. 500,000",873,999,Ubisoft,66,12,85
392,13570,219,400,30,Ubisoft Montreal,0,Action,999,"English, French, German, Spanish - Spain, Italian",341,103,Tom Clancy's Splinter Cell Chaos Theory,144,"200,000 .. 500,000",1729,999,Ubisoft,84,15,91
393,13580,100,331,7,Ubisoft Montreal,0,Action,999,"English, French, German, Italian, Spanish - Spain",195,81,Tom Clancy's Splinter Cell Double Agent,439,"200,000 .. 500,000",346,999,Ubisoft,8,7,42
394,13600,0,186,5,Kudosoft,0,"Action, Adventure",999,English,0,67,Prince of Persia: The Sands of Time,114,"200,000 .. 500,000",800,999,Ubisoft,69,16,86
395,13620,0,23,0,Red Storm Entertainment,0,Action,499,English,0,23,Tom Clancy's Ghost Recon Desert Siege,2,"50,000 .. 100,000",34,499,Ubisoft,90,5,93
396,13630,0,60,0,Red Storm Entertainment,0,Action,499,English,0,7,Tom Clancy's Ghost Recon Island Thunder,4,"100,000 .. 200,000",42,499,Ubisoft,80,4,89
397,15000,0,102,3,Red Storm Entertainment,0,Action,999,English,0,35,Tom Clancy's Rainbow Six Lockdown,77,"20,000 .. 50,000",80,999,Ubisoft,11,5,53
398,15080,12,95,2,"Ubisoft Bulgaria, Ubisoft Montpellier",0,"Action, Adventure",999,"English, French, Spanish - Spain",23,50,Rayman Raving Rabbids,75,"20,000 .. 50,000",228,999,Ubisoft,42,9,74
399,15100,276,614,92,Ubisoft Montreal,0,"Action, Adventure",1999,"English, French, Italian, German, Spanish - Spain",267,261,Assassin's Creed: Director's Cut Edition,1115,"1,000,000 .. 2,000,000",5552,1999,Ubisoft,58,20,82
400,15120,214,529,60,Ubisoft Montreal,0,Action,999,"English, French, Italian, German, Spanish - Spain",346,213,Tom Clancy's Rainbow Six Vegas 2,448,"1,000,000 .. 2,000,000",2527,999,Ubisoft,61,20,84
401,15130,36,247,20,Ubisoft,0,"Action, Adventure",999,"English, French, German, Italian, Spanish - Spain",36,100,Beyond Good and Evil,177,"200,000 .. 500,000",1792,999,Ubisoft,80,20,90
402,15160,0,272,2,Ubisoft,0,Simulation,999,"English, French, Spanish - Spain",0,392,Petz Horsez 2,34,"0 .. 20,000",70,999,Ubisoft,28,4,61
403,15170,109,964,213,Nival,0,Strategy,999,"English, French, Italian, German, Spanish - Spain",164,240,Heroes of Might & Magic V,170,"500,000 .. 1,000,000",1234,999,Ubisoft,69,12,87
404,15190,0,188,8,Gearbox Software,0,Action,999,"English, French, Italian, Dutch, Spanish - Spain",0,93,Brothers in Arms: Road to Hill 30,91,"100,000 .. 200,000",608,999,Ubisoft,66,13,86
405,15200,1,604,39,Ubisoft Romania,0,Simulation,999,"English, French, Spanish - Spain",1,175,Silent Hunter: Wolves of the Pacific,122,"100,000 .. 200,000",225,999,Ubisoft,24,4,64
406,15210,71,2407,105,Ubisoft,0,Simulation,999,"English, German",71,182,Silent Hunter III,108,"100,000 .. 200,000",655,999,Ubisoft,63,11,85
407,15240,1791,1216,0,Ubisoft Romania,0,Simulation,999,English,1791,117,Silent Hunter: Wolves of the Pacific U-Boat Missions,24,"50,000 .. 100,000",70,999,Ubisoft,40,3,73
408,15270,0,302,2,Darkworks,0,Action,999,"English, French, Italian, German, Spanish - Spain",0,180,Cold Fear,40,"20,000 .. 50,000",257,999,Ubisoft,66,6,86
409,15300,4,112,16,Red Storm Entertainment,0,Action,999,English,4,43,Tom Clancy's Ghost Recon,41,"100,000 .. 200,000",527,999,Ubisoft,84,15,92
410,15320,27,1121,57,1C: Maddox Games,0,Simulation,999,"English, Russian",27,74,IL-2 Sturmovik: 1946,178,"200,000 .. 500,000",1258,999,1C Entertainment,69,12,88
411,15350,0,186,0,Ubisoft,0,Casual,999,English,0,186,Brain Spa,4,"0 .. 20,000",3,999,Ubisoft,,1,0
412,15370,177,1506,216,Nival,0,Strategy,999,"English, French, Italian, German, Spanish - Spain",218,477,Heroes of Might & Magic V: Tribes of the East,60,"200,000 .. 500,000",740,999,Ubisoft,84,7,92
413,15380,279,192,18,Nival,0,Strategy,999,"English, French, Italian, German, Spanish - Spain",279,12,Heroes of Might & Magic V: Hammers of Fate,22,"200,000 .. 500,000",83,999,Ubisoft,49,4,78
414,15390,48,236,20,Gearbox Software,0,Action,999,"English, French, Italian, Spanish - Spain",48,156,Brothers in Arms: Hell's Highway,93,"200,000 .. 500,000",796,999,Ubisoft,74,15,89
415,15400,0,212,0,Oxeye Game Studio,0,"Strategy, Indie",799,English,0,75,Harvest: Massive Encounter,21,"20,000 .. 50,000",85,799,Oxeye Game Studio,52,5,78
416,15500,0,132,2,"Dejobaan Games, LLC",0,"Indie, Casual",999,English,0,76,The Wonderful End of the World,134,"100,000 .. 200,000",402,999,"Dejobaan Games, LLC",42,8,75
417,15520,0,99,1,"Dejobaan Games, LLC",0,"Action, Indie, Sports",999,English,0,51,AaAaAA!!! - A Reckless Disregard for Gravity,102,"100,000 .. 200,000",544,999,"Dejobaan Games, LLC",61,12,84
418,15540,0,116,0,"Dejobaan Games, LLC",0,"Action, Early Access, Indie",999,English,0,71,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),331,"0 .. 20,000",152,999,"Dejobaan Games, LLC",4,8,30
419,15560,0,48,1,"Dejobaan Games, LLC, Owlchemy Labs",0,"Action, Indie, Sports",999,English,0,16,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,247,"200,000 .. 500,000",745,999,"Dejobaan Games, LLC",42,10,82
420,15620,65,1186,281,"Relic Entertainment, Feral Interactive (Mac/Linux)",0,Strategy,1999,"English, French, German, Italian, Spanish - Spain",76,386,"Warhammer 40,000: Dawn of War II",738,"2,000,000 .. 5,000,000",5543,1999,"SEGA, Feral Interactive (Mac/Linux)",71,20,86
421,15700,673,446,24,Oddworld Inhabitants,0,Adventure,299,"English, French, German, Italian, Japanese, Spanish - Spain",967,211,Oddworld: Abe's Oddysee,432,"5,000,000 .. 10,000,000",2713,299,Oddworld Inhabitants,66,20,91
422,15710,0,155,12,Oddworld Inhabitants,0,Adventure,299,"English, French, German, Italian, Spanish - Spain",0,17,Oddworld: Abe's Exoddus,46,"200,000 .. 500,000",792,299,Oddworld Inhabitants,90,17,94
423,15740,59,194,3,Oddworld Inhabitants,0,"Action, Adventure, Strategy",499,English,59,103,Oddworld: Munch's Oddysee,157,"50,000 .. 100,000",422,499,Oddworld Inhabitants,36,8,73
424,15750,29,210,4,Oddworld Inhabitants,0,"Action, Adventure, Strategy",999,English,29,80,Oddworld: Stranger's Wrath HD,133,"200,000 .. 500,000",735,999,Oddworld Inhabitants,61,14,84
425,15800,0,0,0,Slam,0,"Indie, Casual",999,English,0,0,Planet Busters,1,"0 .. 20,000",1,999,Slam,,2,0
426,15900,0,89,0,MumboJumbo,0,Casual,999,English,0,83,7 Wonders II,30,"20,000 .. 50,000",89,999,MumboJumbo,40,4,84
427,15910,0,1,0,MumboJumbo,0,Casual,999,"English, French, German, Swedish",0,1,Luxor Amun Rising,2,"0 .. 20,000",6,999,MumboJumbo,,1,0
428,15920,1,21,0,MumboJumbo,0,Casual,999,"English, French, German",1,10,Luxor 2,11,"0 .. 20,000",6,999,MumboJumbo,5,1,42
429,15930,0,121,0,MumboJumbo,0,Casual,999,English,0,119,Luxor 3,15,"20,000 .. 50,000",49,999,MumboJumbo,44,3,88
430,15960,0,210,1,MumboJumbo,0,Casual,999,English,0,253,Little Farm,34,"20,000 .. 50,000",71,999,MumboJumbo,28,4,68
431,15970,0,96,0,MumboJumbo,0,Casual,999,"English, French, German, Swedish",0,73,Luxor,12,"0 .. 20,000",28,999,MumboJumbo,33,2,65
432,16000,0,938,0,MumboJumbo,0,Casual,999,English,0,1846,Discovery! A Seek and Find Adventure,30,"0 .. 20,000",20,999,MumboJumbo,,2,0
433,16020,0,116,0,MumboJumbo,0,Casual,999,English,0,217,Samantha Swift and the Hidden Roses of Athena,20,"20,000 .. 50,000",29,999,MumboJumbo,19,5,45
434,16030,0,109,3,MumboJumbo,0,Casual,999,English,0,107,7 Wonders: Treasures of Seven,20,"20,000 .. 50,000",53,999,MumboJumbo,36,3,81
435,16040,0,30,0,MumboJumbo,0,Casual,999,English,0,45,Luxor: Quest for the Afterlife ,14,"0 .. 20,000",27,999,MumboJumbo,26,3,55
436,16060,0,261,0,MumboJumbo,0,Casual,999,English,0,303,Samantha Swift and the Golden Touch,25,"20,000 .. 50,000",25,999,MumboJumbo,11,4,58
437,16100,0,152,0,Last Day of Work,0,"Casual, Simulation",999,English,0,152,Virtual Villagers: A New Home,6,"0 .. 20,000",20,999,Last Day of Work,44,2,75
438,16110,0,1,0,Last Day of Work,0,"Casual, Simulation",999,English,0,1,Virtual Villagers: The Lost Children,3,"0 .. 20,000",11,999,Last Day of Work,47,2,76
439,16120,0,745,0,Last Day of Work,0,"Casual, Simulation",999,English,0,1062,Plant Tycoon,6,"0 .. 20,000",47,999,Last Day of Work,71,3,85
440,16130,0,276,0,Last Day of Work,0,"Casual, Simulation",999,English,0,306,Fish Tycoon,8,"0 .. 20,000",35,999,Last Day of Work,54,3,81
441,16180,0,264,0,Last Day of Work,0,"Casual, Simulation",999,English,0,264,Virtual Villagers - The Secret City,7,"0 .. 20,000",31,999,Last Day of Work,54,2,80
442,16200,0,32,0,Last Day of Work,0,"Casual, Simulation",999,English,0,32,Virtual Families,7,"0 .. 20,000",18,999,Last Day of Work,36,2,72
443,16300,0,49,0,Queasy Games,0,"Indie, Casual",999,English,0,49,Everyday Shooter,6,"20,000 .. 50,000",80,999,Last Day of Work,87,7,92
444,16450,283,413,45,Monolith,0,Action,1499,"English, French, Italian, German, Spanish - Spain, Czech, Hungarian, Polish, Russian",417,221,F.E.A.R. 2: Project Origin,493,"1,000,000 .. 2,000,000",3218,1499,Warner Bros. Interactive Entertainment,66,18,85
445,16500,0,55,0,blurredVision,0,"Casual, Indie",299,"English, German",0,55,Chaos Theory,1,"0 .. 20,000",10,299,blurredVision,,3,0
446,16600,0,251,2,Redlynx,0,"Indie, Racing, Sports",999,"English, French, Italian, German, Spanish - Spain, Russian, Polish, Swedish, Czech, Finnish",0,161,Trials 2: Second Edition,33,"100,000 .. 200,000",167,999,RedLynx Ltd.,58,3,83
447,16620,0,86,0,Redlynx Ltd,0,"Indie, Racing, Sports",1999,English,0,47,Monster Trucks Nitro ,12,"0 .. 20,000",21,1999,Miniclip.com,23,3,62
448,16710,0,26,1,Crackpot Entertainment,0,"Action, Adventure",99,English,0,13,Insecticide Part 1,108,"100,000 .. 200,000",307,99,Missing Link Games,38,11,74
449,16720,0,84,4,Replay Studios,0,Action,199,"English, French",0,16,Velvet Assassin,818,"200,000 .. 500,000",1202,199,Missing Link Games,19,11,58
450,16730,0,91,4,Spark Unlimited,0,Action,199,English,0,37,Legendary,1001,"200,000 .. 500,000",1094,199,SouthPeak Games,13,9,53
451,16810,13,317,185,Firaxis Games,0,Strategy,1999,"English, French, German, Spanish - Spain, Italian",21,31,Sid Meier's Civilization IV: Colonization,92,"1,000,000 .. 2,000,000",325,1999,2K,45,8,79
452,16900,122,248,38,BlackFoot Studios,0,"Action, Indie, Early Access",1999,English,122,180,GROUND BRANCH,107,"20,000 .. 50,000",490,1999,BlackFoot Studios,56,12,79
453,17100,0,748,0,"Tilted Mill Entertainment, Inc.",0,"Strategy, Simulation",799,"English, French, German, Italian, Spanish - Spain",0,665,Children of the Nile: Enhanced Edition,35,"50,000 .. 100,000",175,799,"Tilted Mill Entertainment, Inc.",58,8,83
454,17120,0,117,0,"Tilted Mill Entertainment, Inc.",0,"Strategy, Simulation",249,"English, French, German, Italian, Spanish - Spain",0,165,Children of the Nile: Alexandria,12,"20,000 .. 50,000",52,249,"Tilted Mill Entertainment, Inc.",54,7,80
455,17140,0,271,2,"Tilted Mill Entertainment, Inc.",0,"RPG, Strategy",999,"English, French, German, Spanish - Spain",0,412,Hinterland,37,"20,000 .. 50,000",113,999,"Tilted Mill Entertainment, Inc.",42,7,76
456,17180,0,721,0,"Tilted Mill Entertainment, Inc.",0,Strategy,999,English,0,721,Mosby's Confederacy,6,"0 .. 20,000",15,999,"Tilted Mill Entertainment, Inc.",35,2,70
457,17300,29,385,75,Crytek,0,Action,1999,"English, French, German, Spanish - Spain, Italian, Czech, Polish, Russian, Hungarian",18,181,Crysis,1244,"1,000,000 .. 2,000,000",5948,1999,Electronic Arts,56,20,82
458,17330,12,202,23,Crytek,0,Action,1999,"English, French, German, Spanish - Spain, Italian, Czech, Polish, Russian, Hungarian",18,119,Crysis Warhead,300,"1,000,000 .. 2,000,000",1658,1999,Electronic Arts,61,15,84
459,17390,215,908,905,Maxis™,0,Simulation,1999,"English, Czech, Danish, German, Spanish - Spain, Finnish, French, Italian, Hungarian, Dutch, Norwegian, Polish, Russian, Swedish, Portuguese",111,332,SPORE,1953,"2,000,000 .. 5,000,000",14757,1999,Electronic Arts,71,20,87
460,17410,84,289,68,DICE,0,"Action, Adventure",1999,"English, French, German, Italian, Spanish - Spain, Czech, Russian, Polish, Hungarian, Portuguese",102,151,Mirror's Edge,2310,"2,000,000 .. 5,000,000",17691,1999,Electronic Arts,71,20,87
461,17430,43,612,111,EA Black Box,0,"Action, Racing",999,English,53,153,Need for Speed Undercover,1045,"200,000 .. 500,000",2286,999,Electronic Arts,30,10,67
462,17440,580,306,55,Maxis™,0,Simulation,1999,"English, Czech, Danish, German, Spanish - Spain, Finnish, French, Italian, Hungarian, Dutch, Norwegian, Polish, Russian, Swedish, Portuguese",580,58,SPORE Creepy & Cute Parts Pack,95,"500,000 .. 1,000,000",462,1999,Electronic Arts,56,14,81
463,17450,228,1906,265,BioWare,0,RPG,1999,"English, Spanish - Spain, Italian, Czech, French, German, Polish, Russian",191,379,Dragon Age: Origins,449,"500,000 .. 1,000,000",6114,1999,Electronic Arts,87,20,93
464,17460,147,1178,323,BioWare,0,"Action, RPG",1999,"English, French, German, Spanish - Spain, Italian",190,470,Mass Effect,639,"1,000,000 .. 2,000,000",9913,1999,Electronic Arts,87,20,93
465,17470,70,329,164,EA Redwood Shores,0,Action,1999,"English, French, German, Italian, Spanish - Spain",34,87,Dead Space,1026,"2,000,000 .. 5,000,000",8904,1999,Electronic Arts,74,20,89
466,17480,133,769,312,EA Los Angeles,0,Strategy,1999,"English, Czech, French, German, Hungarian, Italian, Polish, Russian, Spanish - Spain",163,286,Command & Conquer: Red Alert 3,830,"500,000 .. 1,000,000",4276,1999,Electronic Arts,58,18,83
467,17500,88,1881,82,Zombie Panic Team,0,"Action, Free to Play, Indie",0,"English, Russian, French, Italian, German, Spanish - Spain, Danish, Dutch, Portuguese, Portuguese - Brazil, Simplified Chinese, Spanish - Latin America",80,29,Zombie Panic! Source,898,"500,000 .. 1,000,000",5196,0,Zombie Panic Team,63,20,85
468,17570,58,613,51,Octoshark Studios,0,"Action, Free to Play, Indie",0,"English, Danish, Dutch, Finnish, French, German, Norwegian, Portuguese, Russian, Spanish - Spain, Swedish",51,53,"Pirates, Vikings, and Knights II",571,"500,000 .. 1,000,000",3781,0,Octoshark Studios,66,20,86
469,17580,0,170,1,Puny Human,0,"Action, Free to Play, Indie",0,"English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Russian, Spanish - Spain, Swedish, Traditional Chinese, Thai",0,14,Dystopia,153,"200,000 .. 500,000",738,0,Telltale Games,56,20,82
470,17710,0,318,15,"GameConnect, InterWave Studios",82,"Action, Strategy",999,"English, Czech, German, Russian, Spanish - Spain, Korean",0,149,Nuclear Dawn,436,"200,000 .. 500,000",1663,179,Iceberg Interactive,49,11,79
471,17740,3424,2740,8,Empires,0,"Action, Free to Play, Strategy",0,"English, Polish, Spanish - Spain, Russian",5103,85,Empires Mod,113,"100,000 .. 200,000",653,0,Empires,63,9,85
472,18000,0,208,1,Hothead Games,0,"Adventure, RPG",799,English,0,153,"Precipice of Darkness, Episode One",42,"200,000 .. 500,000",393,799,Hothead Games,77,6,93
473,18020,0,309,0,Hothead Games,0,"Adventure, RPG",799,English,0,280,"Precipice of Darkness, Episode Two",22,"200,000 .. 500,000",118,799,Hothead Games,61,6,87
474,18040,64,312,2,Hothead Games,0,"Action, Indie, RPG",1499,English,64,274,DeathSpank,34,"100,000 .. 200,000",534,1499,Electronic Arts,90,9,93
475,18050,0,391,0,Hothead Games,0,"Action, RPG, Indie",1499,English,0,381,DeathSpank: Thongs of Virtue,18,"50,000 .. 100,000",123,1499,Electronic Arts,69,8,85
476,18070,0,139,1,Hothead Games,0,"Action, Adventure, RPG",1499,English,0,21,The Baconing,37,"100,000 .. 200,000",149,1499,Hothead Games,52,7,76
477,18120,0,138,0,Futuremark,0,"Action, Casual, Indie, Strategy",999,"English, German",0,55,Unstoppable Gorg,47,"50,000 .. 100,000",188,999,Futuremark,52,9,78
478,18300,1,186,0,Shorebound Studios,0,"Casual, Indie",499,English,1,161,Spectraball,98,"50,000 .. 100,000",291,499,Shorebound Studios,40,4,75
479,18400,0,203,1,Fakt Software,0,"Casual, Strategy",999,English,0,129,Crazy Machines 2,106,"100,000 .. 200,000",94,999,Viva Media,10,5,59
480,18420,0,109,0,Fakt Software,0,"Casual, Strategy",999,English,0,52,Crazy Machines,23,"50,000 .. 100,000",95,999,Viva Media,52,4,81
481,18430,0,0,0,Fakt Software,0,"Casual, Strategy",999,English,0,0,Crazy Machines 1.5,0,"0 .. 20,000",0,999,Viva Media,,0,0
482,18470,0,25,0,Spellbound,0,Strategy,999,"English, French, German, Spanish - Spain",0,37,Helldorado,23,"50,000 .. 100,000",50,999,"Black Forest Games, THQ Nordic",30,2,71
483,18480,0,85,1,4Head Studios,0,Adventure,999,"English, German, Italian, French",0,92,Mata Hari,36,"20,000 .. 50,000",50,999,Viva Media,18,6,58
484,18500,14,612,99,Hidden Path Entertainment,0,"Indie, Strategy",999,"English, French, Italian, German, Spanish - Spain",14,238,Defense Grid: The Awakening,109,"500,000 .. 1,000,000",3282,999,Hidden Path Entertainment,95,13,97
485,18600,0,12,0,Inventive Dingo,0,"Indie, Strategy",999,English,0,24,Mayhem Intergalactic,10,"0 .. 20,000",12,999,Inventive Dingo,14,2,76
486,18700,0,48,1,Broken Rules,0,"Action, Indie",999,"English, French, German, Italian, Japanese, Spanish - Spain",0,26,And Yet It Moves,324,"200,000 .. 500,000",733,999,Broken Rules,31,9,78
487,18820,30,164,3,Brian Cronin,0,"Action, Indie, Racing, Sports",499,English,30,111,Zero Gear,168,"100,000 .. 200,000",656,499,Brian Cronin,49,6,79
488,19000,396,300,9,Double Helix Games,0,Adventure,3999,"English, French, Italian, German, Spanish - Spain",396,104,Silent Hill Homecoming,404,"100,000 .. 200,000",464,3999,"Konami Digital Entertainment, Inc., Konami Digital Entertainement GmbH",14,11,51
489,19020,0,275,0,Infinite Interactive,0,"Casual, RPG",999,"English, French, German, Italian, Spanish - Spain",0,529,Puzzle Chronicles,8,"0 .. 20,000",16,999,"Konami Digital Entertainment, Inc., Konami Digital Entertainment GmbH",27,3,58
490,19030,0,59,1,Climax Studios,0,"Action, Adventure",1499,English,0,81,Rocket Knight,22,"0 .. 20,000",69,1499,"Konami Digital Entertainment, Inc., Konami Digital Entertainment GmbH",42,3,73
491,19080,0,6,0,G5 Entertainment,0,"Action, Adventure, Casual",999,English,0,6,Biozone,13,"0 .. 20,000",1,999,"Konami Digital Entertainment, Inc., Konami Digital Entertainment GmbH",,3,0
492,19200,0,108,0,Dialogue Design,0,"Action, Indie",499,"English, Russian",0,40,Tank Universal,188,"100,000 .. 200,000",228,499,Meridian4,14,11,56
493,19320,0,7,0,Strawdog Studios Ltd,0,"Action, Indie, Casual",499,English,0,9,Space Ark,8,"0 .. 20,000",6,499,Bounce Entertainment,,3,0
494,19500,0,20,0,"Luc Bernard, SilverSphereStudios",0,"Adventure, Indie",499,English,0,22,Eternity's Child,47,"0 .. 20,000",16,499,Silver Sphere Studios,3,3,17
495,19800,212,248,8,Gearbox Software,0,Action,999,"English, French, Italian, German, Spanish - Spain",212,41,Brothers in Arms: Earned in Blood,51,"100,000 .. 200,000",286,999,Ubisoft,61,8,84
496,19810,0,13,0,Red Storm Entertainment,0,Action,999,English,0,13,The Sum of All Fears,3,"0 .. 20,000",17,999,Ubisoft,63,2,85
497,19830,5980,990,24,"Red Storm Entertainment, Ubisoft Montreal",0,Action,999,English,5980,66,Tom Clancy's Rainbow Six 3 Gold,64,"200,000 .. 500,000",796,999,Ubisoft,84,15,92
498,19900,48,460,136,Ubisoft Montreal,0,Action,999,"English, French, Italian, German, Spanish - Spain",57,153,Far Cry 2: Fortune's Edition,1672,"1,000,000 .. 2,000,000",5157,999,Ubisoft,42,20,74
499,19980,332,265,10,Ubisoft Montreal,0,"Action, Adventure",999,"English, French, Italian, German, Spanish - Spain",332,90,Prince of Persia,254,"200,000 .. 500,000",923,999,Ubisoft,47,15,78
500,20200,0,79,0,Perpetual FX Creative,0,"Indie, Casual, Sports",1999,English,0,79,Galactic Bowling,10,"0 .. 20,000",6,1999,Perpetual FX Creative,5,4,41
501,20500,15,599,29,"Volition, Reactor Zero, THQ Nordic",0,Action,1999,"English, French, German, Italian, Spanish - Spain, Czech, Polish, Russian",15,261,Red Faction Guerrilla Steam Edition,677,"1,000,000 .. 2,000,000",6387,1999,THQ Nordic,77,20,90
502,20510,325,708,218,GSC Game World,0,"Action, RPG",999,"English, French, German, Spanish - Spain, Russian, Ukrainian, Italian",432,160,S.T.A.L.K.E.R.: Clear Sky,849,"500,000 .. 1,000,000",5320,999,GSC World Publishing,66,20,85
503,20530,0,265,11,"Volition, Inc.",0,Action,999,English,0,64,Red Faction,146,"500,000 .. 1,000,000",1306,999,THQ Nordic,74,12,88
